ednum,ednumber,edname,region,election_2012,mla_first,mla_last,current_party,totalvotes,SHAPE_AREA,SHAPE_LEN,,,
1,01,Dunvegan-Central Peace-Notley,Rest of Alberta,PC,Hector,Goudreau,PC,15000,4.336414203,11.55752546,,"""","""01"": {""map_id"": ""1"",""edname"": ""Dunvegan-Central Peace-Notley"",""region"": ""Rest of Alberta"",""election_2012"": ""PC"",""current_party"": ""PC"",""totalvotes"": ""15000""},"
2,02,Lesser Slave Lake,Rest of Alberta,PC,Pearl,Calahasen,PC,15000,11.06844939,16.85282766,,"""","""02"": {""map_id"": ""2"",""edname"": ""Lesser Slave Lake"",""region"": ""Rest of Alberta"",""election_2012"": ""PC"",""current_party"": ""PC"",""totalvotes"": ""15000""},"
3,03,Calgary-Acadia,Calgary,PC,Jonathan,Denis,PC,15000,0.004140215,0.350333143,,"""","""03"": {""map_id"": ""3"",""edname"": ""Calgary-Acadia"",""region"": ""Calgary"",""election_2012"": ""PC"",""current_party"": ""PC"",""totalvotes"": ""15000""},"
4,04,Calgary-Bow,Calgary,PC,Alana,DeLong,PC,15000,0.003769782,0.362766181,,"""","""04"": {""map_id"": ""4"",""edname"": ""Calgary-Bow"",""region"": ""Calgary"",""election_2012"": ""PC"",""current_party"": ""PC"",""totalvotes"": ""15000""},"
5,05,Calgary-Buffalo,Calgary,PC,Kent,Hehr,LIB,15000,0.000816768,0.156903819,,"""","""05"": {""map_id"": ""5"",""edname"": ""Calgary-Buffalo"",""region"": ""Calgary"",""election_2012"": ""PC"",""current_party"": ""LIB"",""totalvotes"": ""15000""},"
6,06,Calgary-Cross,Calgary,PC,Yvonne,Fritz,PC,15000,0.002750356,0.261957903,,"""","""06"": {""map_id"": ""6"",""edname"": ""Calgary-Cross"",""region"": ""Calgary"",""election_2012"": ""PC"",""current_party"": ""PC"",""totalvotes"": ""15000""},"
7,07,Calgary-Currie,Calgary,PC,Christine,Cusanelli,PC,15000,0.002288778,0.27700427,,"""","""07"": {""map_id"": ""7"",""edname"": ""Calgary-Currie"",""region"": ""Calgary"",""election_2012"": ""PC"",""current_party"": ""PC"",""totalvotes"": ""15000""},"
8,08,Calgary-East,Calgary,PC,Moe,Amery,PC,15000,0.002488534,0.264479931,,"""","""08"": {""map_id"": ""8"",""edname"": ""Calgary-East"",""region"": ""Calgary"",""election_2012"": ""PC"",""current_party"": ""PC"",""totalvotes"": ""15000""},"
9,09,Calgary-Elbow,Calgary,PC,Alison,Redford,PC,15000,0.002452798,0.320607551,,"""","""09"": {""map_id"": ""9"",""edname"": ""Calgary-Elbow"",""region"": ""Calgary"",""election_2012"": ""PC"",""current_party"": ""PC"",""totalvotes"": ""15000""},"
10,10,Calgary-Fish Creek,Calgary,WRP,Heather,Forsyth,WRP,15000,0.002754745,0.299160691,,"""","""10"": {""map_id"": ""10"",""edname"": ""Calgary-Fish Creek"",""region"": ""Calgary"",""election_2012"": ""WRP"",""current_party"": ""WRP"",""totalvotes"": ""15000""},"
11,11,Calgary-Foothills,Calgary,PC,Jim,Prentice,PC,15000,0.005959921,0.424493619,,"""","""11"": {""map_id"": ""11"",""edname"": ""Calgary-Foothills"",""region"": ""Calgary"",""election_2012"": ""PC"",""current_party"": ""PC"",""totalvotes"": ""15000""},"
12,12,Calgary-Fort,Calgary,PC,Wayne,Cao,PC,15000,0.011852863,0.753142562,,"""","""12"": {""map_id"": ""12"",""edname"": ""Calgary-Fort"",""region"": ""Calgary"",""election_2012"": ""PC"",""current_party"": ""PC"",""totalvotes"": ""15000""},"
